S. NO.,venue,total_runs
1,Eden Gardens,23658
2,Wankhede Stadium,23390
3,Feroz Shah Kotla,22947
4,M Chinnaswamy Stadium,20237
5,"Rajiv Gandhi International Stadium, Uppal",19484
6,"MA Chidambaram Stadium, Chepauk",17821
7,Sawai Mansingh Stadium,14264
8,"Punjab Cricket Association Stadium, Mohali",10987
9,Dubai International Cricket Stadium,10402
10,Sheikh Zayed Stadium,8830
11,"Punjab Cricket Association IS Bindra Stadium, Mohali",7021
12,Maharashtra Cricket Association Stadium,6780
13,Sharjah Cricket Stadium,5924
14,M.Chinnaswamy Stadium,5127
15,Dr DY Patil Sports Academy,4810
16,Subrata Roy Sahara Stadium,4755
17,Kingsmead,4353
18,Brabourne Stadium,3842
19,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,3746
20,"Sardar Patel Stadium, Motera",3746
21,SuperSport Park,3653
22,Saurashtra Cricket Association Stadium,3316
23,Himachal Pradesh Cricket Association Stadium,2897
24,Holkar Cricket Stadium,2872
25,New Wanderers Stadium,2292
26,Barabati Stadium,2278
27,JSCA International Stadium Complex,2056
28,St George's Park,2033
29,Newlands,1764
30,Shaheed Veer Narayan Singh International Stadium,1741
31,Nehru Stadium,1363
32,Green Park,1298
33,De Beers Diamond Oval,897
34,"Vidarbha Cricket Association Stadium, Jamtha",882
35,Buffalo Park,799
36,OUTsurance Oval,529
